2015-12-1,5:44,6:30,6:54,12:02,12:30,14:50,15:00,17:09,17:19,18:20,19:30,13:00
2015-12-2,5:45,6:30,6:55,12:02,12:30,14:50,15:00,17:09,5:19,18:20,19:30,13:00
2015-12-3,5:45,6:30,6:56,12:03,12:30,14:50,15:00,17:09,5:19,18:20,19:30,13:00
2015-12-4,5:46,6:30,6:57,12:03,12:30,14:50,15:00,17:09,5:19,18:20,19:30,13:00
2015-12-5,5:47,6:30,6:57,12:04,12:30,14:50,15:00,17:09,5:19,18:21,19:30,13:00
2015-12-6,5:48,6:30,6:58,12:04,12:30,14:50,15:00,17:09,5:19,18:21,19:30,13:00
2015-12-7,5:48,6:30,6:59,12:05,12:30,14:50,15:00,17:09,5:19,18:21,19:30,13:00
2015-12-8,5:49,6:30,7:00,12:05,12:30,14:51,15:00,17:09,5:19,18:21,19:30,13:00
2015-12-9,5:50,6:30,7:00,12:05,12:30,14:51,15:00,17:09,5:19,18:21,19:30,13:00
2015-12-10,5:50,6:30,7:01,12:06,12:30,14:51,15:00,17:10,5:20,18:21,19:30,13:00
2015-12-11,5:51,6:30,7:02,12:06,12:30,14:51,15:00,17:10,5:20,18:22,19:30,13:00
2015-12-12,5:52,6:30,7:03,12:07,12:30,14:52,15:00,17:10,5:20,18:22,19:30,13:00
2015-12-13,5:52,6:30,7:03,12:07,12:30,14:52,15:00,17:10,5:20,18:22,19:30,13:00
2015-12-14,5:53,6:30,7:04,12:08,12:30,14:52,15:00,17:11,5:21,18:23,19:30,13:00
2015-12-15,5:53,6:30,7:05,12:08,12:30,14:53,15:00,17:11,5:21,18:23,19:30,13:00
2015-12-16,5:53,6:30,7:05,12:08,12:30,14:53,15:00,17:11,5:21,18:23,19:30,13:00
2015-12-17,5:55,6:30,7:06,12:09,12:30,14:53,15:00,17:12,17:22,18:24,19:30,13:00
2015-12-18,5:55,6:30,7:06,12:10,12:30,14:54,15:00,17:12,17:22,18:24,19:30,13:00
2015-12-19,5:56,6:30,7:07,12:10,12:30,14:54,15:00,17:12,17:22,18:25,19:30,13:00
2015-12-20,5:56,6:30,7:07,12:11,12:30,14:55,15:00,17:13,17:23,18:25,19:30,13:00
2015-12-21,5:57,6:30,7:08,12:11,12:30,14:55,15:00,17:13,17:23,18:26,19:30,13:00
2015-12-22,5:57,6:30,7:08,12:12,12:30,14:56,15:00,17:14,17:14,18:26,19:30,13:00
2015-12-23,5:58,6:30,7:09,12:12,12:30,14:56,15:00,17:14,17:14,18:27,19:30,13:00
2015-12-24,5:58,6:30,7:09,12:13,12:30,14:57,15:00,17:15,17:15,18:27,19:30,13:00
2015-12-25,5:58,6:30,7:10,12:13,12:30,14:57,15:00,17:16,17:16,18:28,19:30,13:00
2015-12-26,5:59,6:30,7:10,12:14,12:30,14:58,15:00,17:16,17:16,18:28,19:30,13:00
2015-12-27,5:59,6:30,7:11,12:14,12:30,14:58,15:00,17:17,17:17,18:29,19:30,13:00
2015-12-28,6:00,6:30,7:11,12:15,12:30,14:59,15:00,17:17,17:17,18:30,19:30,13:00
2015-12-29,6:00,6:30,7:11,12:15,12:30,15:00,15:00,17:18,17:18,18:30,19:30,13:00
2015-12-30,6:00,6:30,7:12,12:16,12:30,15:00,15:00,17:19,17:19,18:31,19:30,13:00
2015-12-31,6:00,6:30,7:12,12:16,12:30,15:00,15:00,17:19,17:19,18:31,19:30,13:00